#Speed [m/s], AODV, OLSR
1,1.56824,1.30173
2,1.15584,1.0801
3,1.48408,1.15023
4,2.02272,1.1867
5,2.09567,0.959461
6,2.03675,0.723804
7,1.67204,0.482536
8,1.57105,0.440454
9,1.6496,0.359097
10,1.3382,0.353486
11,1.84598,0.403984
12,1.99748,0.328237
13,2.61748,0.490952
14,2.43232,0.589143
15,2.24996,0.589143
16,2.31449,0.561089
17,2.39024,0.561089
18,2.39024,0.594754
19,2.83069,0.676112
20,2.56137,0.698555
21,2.93449,0.687333
22,2.5249,0.611586
23,2.17141,0.558283
24,2.14336,0.530229
25,2.12372,0.485342
26,2.06761,0.429233
27,2.14055,0.426427
28,1.93295,0.356291
29,2.07603,0.342264
30,2.27802,0.345069
31,2.08164,0.384346
32,2.03395,0.305793
33,2.00309,0.297377
34,2.07042,0.269322
35,1.50372,0.277739
36,2.10408,0.272128
37,2.03395,0.25249
38,1.63557,0.244074
39,1.50652,0.25249
40,1.74779,0.162716
41,1.47847,0.15991
42,1.84879,0.095385
43,1.30173,0.117829
44,0.883714,0.131856
45,1.8544,0.0925796
46,1.27367,0.0869687
47,1.64399,0.0645252
48,1.52336,0.0841633
49,1.48688,0.115023
